id,A change op,B change op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration,,,,,,
15,CREATE_DELETE,CREATE_DELETE,[A -> B],[A -> B],[1; 1; 1; 1],0,,TRUE,0.009,TRUE,0.008,0,0.009,0,0,,,,,,
14,CREATE_DELETE,DELETE_CREATE,[A -> B],[A -> B],[1; 1; 1; 1],0.004,,TRUE,0.008,TRUE,0.008,0,0.01,0,0,,,,,,
12,CREATE_DELETE,NOOP,[A -> B],[A -> B],[1; 1],0,,TRUE,0.008,TRUE,0.008,0,0,0,0,,,,,,
13,CREATE_DELETE,UPDATE,[A -> B],[A -> B],[1; 1; 1],0,,TRUE,0.008,TRUE,0.008,0,0.009,0,0,,,,,,
11,DELETE_CREATE,CREATE_DELETE,[A -> B],[A -> B],[2; 2],0,,TRUE,0.016,TRUE,0.015,0,0.024,0,0,,,,,,
10,DELETE_CREATE,DELETE_CREATE,[A -> B],[A -> B],[1; 1; 1; 1],0,,TRUE,0.008,TRUE,0.008,0,0.009,0,0,,,,,,
8,DELETE_CREATE,NOOP,[A -> B],[A -> B],[1; 1],0,,TRUE,0.008,TRUE,0.008,0,0,0,0,,,,,,
9,DELETE_CREATE,UPDATE,[A -> B],[A -> B],[2; 1],0,,TRUE,0.01,TRUE,0.01,0,0.009,0,0,,,,,,
3,NOOP,CREATE_DELETE,[A -> B],[A -> B],[1; 1],0,,TRUE,0.006,TRUE,0.008,0,0.009,0,0,,,,,,
2,NOOP,DELETE_CREATE,[A -> B],[A -> B],[1; 1],0,,TRUE,0.008,FALSE,0.008,2,0.009,1,0,,,,,,
1,NOOP,UPDATE,[A -> B],[A -> B],[1],0,,TRUE,0.007,TRUE,0.007,0,0.005,0,0,,,,,,
7,UPDATE,CREATE_DELETE,[A -> B],[A -> B],[1; 2],0,,TRUE,0.01,TRUE,0.01,0,0.011,0,0,,,,,,
6,UPDATE,DELETE_CREATE,[A -> B],[A -> B],[1; 1; 1],0,,TRUE,0.005,FALSE,0.008,2,0.009,1,0,,,,,,
4,UPDATE,NOOP,[A -> B],[A -> B],[1],0,,TRUE,0.008,TRUE,0.005,0,0,0,0,,,,,,
5,UPDATE,UPDATE,[A -> B],[A -> B],[1; 1],0,,TRUE,0.005,TRUE,0.008,0,0.008,0,0,,,,,,
