id,A change op,B change op,C change op,D change op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration
126,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.016,TRUE,0.015,0,0.027,0,0
189,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 1; 1; 2],0,,TRUE,0.058,TRUE,0.054,0,0.133,0,0
252,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.016,TRUE,0.015,0,0.028,0,0
63,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[1; 2; 2; 1],0,,TRUE,0.143,TRUE,0.144,0,0.362,0,0
125,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.017,TRUE,0.015,0,0.027,0,0
188,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 2],0,,TRUE,0.058,TRUE,0.069,0,0.139,0,0
251,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0.004,,TRUE,0.019,TRUE,0.018,0,0.028,0,0
62,CREATE_DELETE,CREATE_DELETE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[1; 2; 2; 1],0.004,,TRUE,0.151,TRUE,0.154,0,0.345,0,0
123,CREATE_DELETE,CREATE_DELETE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0.004,,TRUE,0.017,TRUE,0.033,0,0.013,0,0
186,CREATE_DELETE,CREATE_DELETE,NOOP,,[A -> B|C],[A -> B|C],[1; 1; 1; 1],0,,TRUE,0.017,TRUE,0.017,0,0.013,0,0
249,CREATE_DELETE,CREATE_DELETE,NOOP,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1],0,,TRUE,0.017,TRUE,0.017,0,0.013,0,0
60,CREATE_DELETE,CREATE_DELETE,NOOP,,[A|B -> C],[A|B -> C],[2; 2],0,,TRUE,0.099,TRUE,0.106,0,0,0,0
124,CREATE_DELETE,CREATE_DELETE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.018,TRUE,0.02,0,0.018,0,0
187,CREATE_DELETE,CREATE_DELETE,UPDATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 1],0,,TRUE,0.033,TRUE,0.036,0,0.04,0,0
250,CREATE_DELETE,CREATE_DELETE,UPDATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1],0,,TRUE,0.019,TRUE,0.019,0,0.018,0,0
61,CREATE_DELETE,CREATE_DELETE,UPDATE,,[A|B -> C],[A|B -> C],[1; 2; 2],0,,TRUE,0.104,TRUE,0.108,0,0.111,0,0
122,CREATE_DELETE,DELETE_CREATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.02,TRUE,0.02,0,0.027,0,0
185,CREATE_DELETE,DELETE_CREATE,CREATE_DELETE,,[A -> B|C],[A -> B|C],[2; 1; 1; 2],0.004,,TRUE,0.069,TRUE,0.064,0,0.136,0,0
248,CREATE_DELETE,DELETE_CREATE,CREATE_DELETE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.021,TRUE,0.02,0,0.031,0,0
59,CREATE_DELETE,DELETE_CREATE,CREATE_DELETE,,[A|B -> C],[A|B -> C],[2; 2; 1; 1],0,,TRUE,0.621,TRUE,0.587,0,1.236,0,0
121,CREATE_DELETE,DELETE_CREATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.025,TRUE,0.021,0,0.03,0,0
184,CREATE_DELETE,DELETE_CREATE,DELETE_CREATE,,[A -> B|C],[A -> B|C],[2; 1; 1; 2],0,,TRUE,0.074,TRUE,0.076,0,0.141,0,0
247,CREATE_DELETE,DELETE_CREATE,DELETE_CREATE,,[A -> B -> C],[A -> B -> C],[1; 1; 1; 1; 1; 1],0,,TRUE,0.021,TRUE,0.022,0,0.03,0,0
58,CREATE_DELETE,DELETE_CREATE,DELETE_CREATE,,[A|B -> C],[A|B -> C],[2; 2; 1; 1],0,,TRUE,0.587,TRUE,0.608,0,1.256,0,0
