id,A change op,B change op,C change op,D change op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration,
1020,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.617,TRUE,3.571,0,6.252,0,0,
10200,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C|D],[A -> B -> C|D],[2; 1; 1; 1; 1; 2],0,0,TRUE,0.09,TRUE,0.086,0,0.174,0,0,
10455,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B -> C -> D],[A -> B -> C -> D],[1; 1; 1; 1; 1; 1; 1; 1],0,0.004,TRUE,0.034,TRUE,0.031,0,0.053,0,0,
1275,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[B -> A|C -> D],[B -> A|C -> D],[1; 2; 2; 1; 1; 1],0.004,0,TRUE,0.872,TRUE,0.876,0,1.635,0,0,
1530,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0.004,0,TRUE,5.543,TRUE,5.65,0,8.433,0,0,
1785,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.65,TRUE,0.686,0,1.367,0,0,
2040,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0.004,0,TRUE,0.175,TRUE,0.175,0,0.375,0,0,
2295,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0.004,0,TRUE,3.604,TRUE,3.58,0,6.386,0,0,
255,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B|C -> D],[A|B|C -> D],[1; 3; 3; 1],0,0.004,TRUE,34.954,TRUE,34.915,0,63.174,0,0,
2550,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0.004,TRUE,0.207,TRUE,0.214,0,0.439,0,0,
2805,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.58,TRUE,3.78,0,6.237,0,0,
3060,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A -> B|C -> D],[A -> B|C -> D],[1; 2; 2; 1; 1; 1],0,0.004,TRUE,0.857,TRUE,0.881,0,1.629,0,0,
3315,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C|D],[A|B -> C|D],[2; 2; 2; 2],0,0,TRUE,3.542,TRUE,3.592,0,6.397,0,0,
3570,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,CREATE_DELETE,[A|B -> C -> D],[A|B -> C -> D],[1; 1; 2; 2; 1; 1],0,0,TRUE,0.185,TRUE,0.219,0,0.428,0,0,
