Topology,Number of resources,Principal op,Principal op percentage,Top changes percentage,Mid op,Top op,Bot op,Target graph layers,State graph layers,Schedule stages,Schedule duration,Schedule trans. red. duration,Check NOT UNSTABLE result,Check NOT UNSTABLE duration,Check global STABLE result,Check global STABLE duration,Check deps STABLE result,Check deps STABLE duration,Check Static #Estables,Check Static duration,,,,,,,
butterfly,5,UPDATE,0.4,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1; 1],0,,TRUE,0.75,TRUE,0.737,0,4.202,0,0,,,,,,,
butterfly,5,UPDATE,0.4,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1; 1; 1],0,,TRUE,0.041,TRUE,0.041,0,0.2,0,0,,,,,,,
butterfly,5,UPDATE,0.4,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2],0.004,,TRUE,0.039,TRUE,0.038,0,0.162,0,0,,,,,,,
butterfly,5,UPDATE,0.4,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 2],0,,TRUE,0.734,FALSE,0.01,2,3.722,1,0,,,,,,,
butterfly,5,UPDATE,0.4,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 2],0.004,,TRUE,0.302,FALSE,0.011,4,1.041,2,0,,,,,,,
butterfly,5,UPDATE,0.4,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 1; 1],0,,TRUE,0.249,FALSE,0.01,2,1.309,1,0,,,,,,,
butterfly,5,UPDATE,0.4,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1],0,,TRUE,0.134,FALSE,0.009,6,0.041,3,0,,,,,,,
butterfly,5,UPDATE,0.4,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[4; 2],0,,TRUE,71.666,FALSE,0.01,6,271.72,3,0,,,,,,,
butterfly,5,UPDATE,0.4,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2],0,,TRUE,0.011,TRUE,0.011,0,0.016,0,0,,,,,,,
butterfly,5,UPDATE,0.4,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1],0,,TRUE,0.017,TRUE,0.017,0,0.041,0,0,,,,,,,
butterfly,5,UPDATE,0.4,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1; 1],0,,TRUE,0.025,TRUE,0.024,0,0.09,0,0,,,,,,,
butterfly,5,UPDATE,0.4,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1],0,,TRUE,0.015,TRUE,0.015,0,0.043,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 3],0,,TRUE,0.568,TRUE,0.558,0,2.461,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 3; 1],0,,TRUE,28.032,TRUE,27.381,0,227.298,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.8,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 2],0,,TRUE,0.518,TRUE,0.517,0,3.722,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.2,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 2; 2],0,,TRUE,0.394,FALSE,0.01,4,1.446,2,0,,,,,,,
butterfly,5,UPDATE,0.7,0.5,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 2],0,,TRUE,0.038,FALSE,0.01,2,0.125,1,0,,,,,,,
butterfly,5,UPDATE,0.7,0.8,DELETE_CREATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1; 1],0,,TRUE,0.089,FALSE,0.01,4,0.322,2,0,,,,,,,
butterfly,5,UPDATE,0.7,0.2,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 2; 1],0,,TRUE,2.533,TRUE,2.567,0,7.749,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.5,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1],0,,TRUE,0.119,TRUE,0.119,0,0.215,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.8,NOOP,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[3; 1],0,,TRUE,0.212,TRUE,0.217,0,0.848,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.2,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 2; 1; 1],0.004,,TRUE,0.327,TRUE,0.319,0,1.491,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.5,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 2; 2],0,,TRUE,0.543,TRUE,0.525,0,4.784,0,0,,,,,,,
butterfly,5,UPDATE,0.7,0.8,UPDATE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[2; 1; 1; 1; 1],0.004,,TRUE,0.021,TRUE,0.022,0,0.092,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.2,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 2; 1; 1],0,,TRUE,0.031,TRUE,0.03,0,0.191,0,0,,,,,,,
butterfly,5,NOOP,0.4,0.5,CREATE_DELETE,,,[0|1 -> 0 -> 0|1],[0|1 -> 0 -> 0|1],[1; 1; 1; 1; 1],0,,TRUE,0.011,TRUE,0.014,0,0.024,0,0,,,,,,,
